node_i,pos (x),pos (y),commodity (k),index,supply (s),demand (d),importance (w)
4,754197,7517145,"Coal, crude oil, natural gas",2,0,4791103,5
14,712244,7543901,"Food, beverage, tobacco",4,0,250716,5
14,712244,7543901,"Furniture, other manufacture",13,-65819,0,5
14,712244,7543901,Return materials and recycling,14,-390413,0,5
14,712244,7543901,Transport equipment,12,-180947,0,5
15,704657,7550344,"Agriculture, forest, fishing",1,0,343029,5
15,704657,7550344,"Chemicals, rubber, plastics",8,0,58539,5
15,704657,7550344,"Food, beverage, tobacco",4,-129,0,5
15,704657,7550344,Return materials and recycling,14,-1124,0,5
15,704657,7550344,Transport equipment,12,-1249983,0,5
16,701000,7558605,"Chemicals, rubber, plastics",8,-114863,0,5
16,701000,7558605,"Food, beverage, tobacco",4,-192193,0,5
16,701000,7558605,"Furniture, other manufacture",13,-40148,0,5
16,701000,7558605,Machinery and equipment,11,-48772,0,5
16,701000,7558605,Other non-metallic mineral,9,0,128822,5
16,701000,7558605,Petroleum Products,7,-3876221,0,5
16,701000,7558605,Return materials and recycling,14,-1546263,0,5
16,701000,7558605,Transport equipment,12,-1388957,0,5
16,701000,7558605,"Wood, cork, pulp, paper",6,-2206805,0,5
17,698501,7566979,"Agriculture, forest, fishing",1,-396789,0,5
17,698501,7566979,"Chemicals, rubber, plastics",8,-37369,0,5
17,698501,7566979,"Food, beverage, tobacco",4,0,213110,5
17,698501,7566979,"Furniture, other manufacture",13,0,40691,5
17,698501,7566979,Ore,3,0,1713624841,5
17,698501,7566979,Other non-metallic mineral,9,0,110169,5
17,698501,7566979,Petroleum Products,7,-783850,0,5
17,698501,7566979,Return materials and recycling,14,0,618658,5
17,698501,7566979,"Textile, leather",5,-4,0,5
18,694806,7574553,"Agriculture, forest, fishing",1,0,6425825,5
18,694806,7574553,"Chemicals, rubber, plastics",8,-21693,0,5
18,694806,7574553,"Furniture, other manufacture",13,0,61511,5
18,694806,7574553,Machinery and equipment,11,-49169,0,5
18,694806,7574553,Ore,3,-1713624841,0,5
18,694806,7574553,Other non-metallic mineral,9,0,131480,5
18,694806,7574553,Petroleum Products,7,-819922,0,5
18,694806,7574553,Return materials and recycling,14,0,486341,5
19,686052,7577504,"Food, beverage, tobacco",4,0,296,5
19,686052,7577504,"Furniture, other manufacture",13,-16511,0,5
19,686052,7577504,Return materials and recycling,14,0,1043875,5
19,686052,7577504,"Textile, leather",5,-21,0,5
19,686052,7577504,Transport equipment,12,-380053,0,5
20,677558,7580915,"Coal, crude oil, natural gas",2,-113957948,0,5
20,677558,7580915,Return materials and recycling,14,-648591,0,5
20,677558,7580915,Transport equipment,12,-422359,0,5
21,667539,7586705,"Chemicals, rubber, plastics",8,-16708,0,5
21,667539,7586705,"Coal, crude oil, natural gas",2,0,17242155,5
21,667539,7586705,"Furniture, other manufacture",13,0,12854,5
21,667539,7586705,Machinery and equipment,11,0,109546,5
21,667539,7586705,Petroleum Products,7,0,3455006,5
21,667539,7586705,Return materials and recycling,14,-520877,0,5
21,667539,7586705,"Textile, leather",5,-11,0,5
21,667539,7586705,Transport equipment,12,-373660,0,5
22,657629,7586635,"Coal, crude oil, natural gas",2,0,20031337,5
22,657629,7586635,"Food, beverage, tobacco",4,-203281,0,5
22,657629,7586635,Petroleum Products,7,0,794725,5
22,657629,7586635,Return materials and recycling,14,0,607167,5
