arc_i,arc_j,capacity_1,capacity_2,capacity_3,capacity_4,capacity_5,capacity_6,capacity_7,capacity_8,capacity_9,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14
48,4,200866017,44156092,663990342,5863073,484,129340774,46564633,36689444,10525170,117746698,2302539,21120288,1751203,24949802
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
30,14,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
14,15,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
16,15,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
15,16,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
17,16,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
16,17,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
18,17,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
17,18,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
19,18,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
18,19,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
20,19,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
19,20,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
21,20,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
20,21,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
22,21,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
21,22,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
23,22,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
22,23,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
24,23,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
23,24,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
25,24,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
24,25,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
26,25,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857
